*HASH_VALUE	title_id	name	women_name	
-	gn_apprentice_tracer	Aprendiz de trazador		
-	gn_bandit_bountybeaches_1	Hinchas de Sangre		
-	gn_bandit_bountybeaches_2	Ladrones de Recompensas		
-	gn_bandit_bountybeaches_3	Cinco Infames		
-	gn_bandit_citiesofintuition_1	Aves de Mal Agüero		
-	gn_bandit_citiesofintuition_2	Kovans de Zora		
-	gn_bandit_citiesofintuition_3	Ojos de la Intuición		
-	gn_bandit_dunesofexil_1	Saqueadores de las Colinas		
-	gn_bandit_dunesofexil_2	Waylayers		
-	gn_bandit_dunesofexil_3	Dragones de Dyron		
-	gn_bandit_dunesofexil_4	Gestor de Arranque de Fuego		
-	gn_bandit_enchantedisle_1	Destripadores de Tyler		
-	gn_bandit_enchantedisle_2	Magos de la Malicia		
-	gn_bandit_enchantedisle_3	Mektoubs Tronzados		
-	gn_bandit_fleetinggarden_1	Raptores Verdes		
-	gn_bandit_fleetinggarden_2	Ojos de Impasibilidad		
-	gn_bandit_fleetinggarden_3	Observadores de las Alturas		
-	gn_bandit_fleetinggarden_4	Los Señores Fugaces		
-	gn_bandit_fleetinggarden_5	Adictos de la Semilla		
-	gn_bandit_forbidden_depths_1	Los Empaladores de Eva		
-	gn_bandit_forbidden_depths_2	Cortadoras		
-	gn_bandit_forbidden_depths_3	Bandidos Bestias		
-	gn_bandit_forbidden_depths_4	Esquivadores del Dragón		
-	gn_bandit_frahartowers_1	Trepadoras del Canon		
-	gn_bandit_frahartowers_2	Stavons Impresionantes		
-	gn_bandit_frahartowers_3	Espadas de Furia		
-	gn_bandit_frahartowers_4	Chaquetas de Frahar		
-	gn_bandit_gate_of_obscurity_1	Rompe Corazones		
-	gn_bandit_gate_of_obscurity_2	Comerciantes del Terror		
-	gn_bandit_gate_of_obscurity_3	Destructores del Valle		
-	gn_bandit_gate_of_obscurity_4	Mocasines Escarlata		
-	gn_bandit_groveofconfusion_1	Criadas Enloquecedoras		
-	gn_bandit_groveofconfusion_2	Tiranos del Bosque		
-	gn_bandit_groveofconfusion_3	Cuchillada Slashing Slathes		
-	gn_bandit_groveofumbra_1	Reinas Asesinas		
-	gn_bandit_groveofumbra_2	Bazo/mal humor Busters		
-	gn_bandit_groveofumbra_3	Fugitivos Negros		
-	gn_bandit_groveofumbra_4	Hacedores Atrevidos		
-	gn_bandit_havenofpurity_1	Punks Locos y Desordenados		
-	gn_bandit_havenofpurity_2	Perseguidores de Homins		
-	gn_bandit_havenofpurity_3	Vuelos de Furia		
-	gn_bandit_hereticshovel_1	Medidor/Calibrador de Canal		
-	gn_bandit_hereticshovel_2	Paganos de las Choza		
-	gn_bandit_hereticshovel_3	Fantasmas del Tugurio		
-	gn_bandit_hiddensource_1	Estropeadores		
-	gn_bandit_hiddensource_2	Constructores del Infierno		
-	gn_bandit_hiddensource_3	Las palabrotas de Jena		
-	gn_bandit_imperialdunes_1	Ojo del Dragón 		
-	gn_bandit_imperialdunes_2	Acosadores de las Dunas		
-	gn_bandit_imperialdunes_3	Trituradores de Pyr		
-	gn_bandit_imperialdunes_4	Paganos de Pyr		
-	gn_bandit_knollofdissent_1	Asaltantes de la Frontera		
-	gn_bandit_knollofdissent_2	Invasores de la Frontera		
-	gn_bandit_knollofdissent_3	Invasores de los Acantilados Altos		
-	gn_bandit_knollofdissent_4	Degolladores		
-	gn_bandit_knollofdissent_5	Trilladores (Tipo de Ave)		
-	gn_bandit_knollofdissent_6	Gestores de Arranque con fuego		
-	gn_bandit_knotofdementia_1	Hermanos Intimidadores/Atemorizadores		
-	gn_bandit_knotofdementia_2	Espina de Zora		
-	gn_bandit_knotofdementia_3	Brincadores de Zora		
-	gn_bandit_lagoonsofloria_1	Perezosos/Vagos del Pantano		
-	gn_bandit_lagoonsofloria_2	Fylers de la Laguna		
-	gn_bandit_lagoonsofloria_3	Compañeros de Diller		
-	gn_bandit_lagoonsofloria_4	Compañeros del Fango		
-	gn_bandit_lagoonsofloria_5	Damas Condenadas		
-	gn_bandit_lagoonsofloria_6	Siete Espadas del Pecado		
-	gn_bandit_libertylake_1		Piratas de La Libertad	
-	gn_bandit_libertylake_2		Peleteros de Cristabell 	
-	gn_bandit_libertylake_3		Amigos de la Furia	
-	gn_bandit_maidengrove_1		Bandidos de las Sombras	
-	gn_bandit_maidengrove_2		Estropajos de la Llanura	
-	gn_bandit_maidengrove_3		Vagos del Lago	
-	gn_bandit_majesticgarden_1	Ira de Natae		
-	gn_bandit_majesticgarden_2	Cambio de la Marea		
-	gn_bandit_majesticgarden_3	Embrague de Davae		
-	gn_bandit_majesticgarden_4	Encantadores de Avalae		
-	gn_bandit_majesticgarden_5	Plagas de la Frontera		
-	gn_bandit_nexus_1		Rebeldes del Oeste	
-	gn_bandit_nexus_2		Vigilantes de las Alturas	
-	gn_bandit_nexus_3		Estranguladores de Nexus	
-	gn_bandit_nexus_4		Lanzadores del Nudo	
-	gn_bandit_oflovaksoasis_1	Aliento de Dragón 		
-	gn_bandit_oflovaksoasis_2	Jinetes de las Sombras		
-	gn_bandit_oflovaksoasis_3	Ángeles del Dragón de Fuego		
-	gn_bandit_oflovaksoasis_4	Piratas informáticos de Cabeza Caliente		
-	gn_bandit_outlawcanyon_1	Forajidos del Canon		
-	gn_bandit_outlawcanyon_2	Llamas de Combate		
-	gn_bandit_outlawcanyon_3	Bucaneros		
-	gn_bandit_sawdustmines_1	Estocadores de Vinni		
-	gn_bandit_sawdustmines_2	Rompe Huesos		
-	gn_bandit_sawdustmines_3	Bandidos de las Dunas Arboladas		
-	gn_bandit_the_abyss_of_ichor_1	Traficantes de la Muerte		
-	gn_bandit_the_abyss_of_ichor_2	Asesinos de Ichor		
-	gn_bandit_the_abyss_of_ichor_3	Centinelas de la Savia		
-	gn_bandit_the_abyss_of_ichor_4	Marauders		
-	gn_bandit_the_elusive_forest_1	Demonios del Lino		
-	gn_bandit_the_elusive_forest_2	Guerreros Marrones		
-	gn_bandit_the_elusive_forest_3	Aflicción Verde		
-	gn_bandit_the_land_of_continuty_1	Regionarios de las Dunas		
-	gn_bandit_the_land_of_continuty_2	Princesas de las Raíces Primarias		
-	gn_bandit_the_land_of_continuty_3	Caverna de la Cigüeñas		
-	gn_bandit_the_land_of_continuty_4	Amigos del Dragón 		
-	gn_bandit_the_land_of_continuty_5	Zanjadores Intransigentes		
